stagename,dateOfBirth
Ben Webster,1864
Ann Wedgeworth,
Paul Wegener,1874
Virginia Weidler,1927
Leslie Weiner,
Johnny Weissmuller,1904
Bruce Weitz,
Joseph L. Welch,1891
Mrs. Joseph L. Welch,
Raquel Welch,1940
Tahnee Welch,
Tuesday Weld,1943
Ben Welden,1901
Mary Louise Weller,
Gwen Welles,
Jacqueline Wells,1914
Mel Welles,
Orson Welles,1915
Billy Wells,
Dawn Wells,
Jennifer Wells,
John Wengraf,1897
Klaus Wenneman,
Fritz Wepper,
Oskar Werner,1922
Dick Wessel,1910
Paula Wessely,1908
Dick Wesson,1922
Adam West,1929
Dianne West,
Mae West,1892
Timothy West,1934
John Westbrook,
Gordon Westcott,1903
Helen Westcott,1929
James Westerfield,1912
Helen Westley,1879
Nydia Westman,1902
James Westmoreland,
David Weston,1938
Jack Weston,1926
Margaret Weycherle,
Michael Whalen,1899
Joanne Whalley,1960
Arleen Whelan,1916
Alan Wheatley,1907
Russ Wheeler,
Manning Whiley,1915
Leigh Whipper,1877
Alice White,1907
Carol White,1941
David White,1916
Jessie White,1918
John Sylvester White,
Pearl White,1889
Ruth White,1914
Ted White,
Valerie White,1916
Wilfrid Hyde White,
Billie Whitelaw,1932
Jon Whiteley,1945
Paul Whiteman,1890
Lynn Whitfield,1954
Leonard Whiting,1950
Ernest Whitman,
"Mae Whitman ",1989
Stuart Whitman,1926
James Whitmore,1921
James Whitmore~jr.,
Peter Whitney,1916
Paul Whitsun-Jones,1923
May Whitty,1865
The Who,n.a.
Richard Whorf,1906
Mary Wickes,1916
Richard Widmark,1914
Dorothea Wieck,1908
The Wiere~Brothers,n.a.
Lynda Wiesmeyer,
Dianne Wiest,*
Collin Wilcox,
Frank Wilcox,1907
Larry Wilcox,
Henry Wilcoxon,1905
Jack Wild,1952
Cornel Wilde,1915
Gene Wilder,1934
Michael Wilding,1912
Estelle Wildwood,
Jan Wiley,
Robert J. Wilke,1911
Jose Wilker,
Joy Wilkerson,
Donna Wilkes,
Fred Willard,
Toyah Willcox,
Warren William,1895
Adam Williams,1929
Bernie Williams,
Bill Williams,1916
Billy-Dee Williams,
Bransby Williams,1870
Cara Williams,1925
Cindy Williams,1948
Eric Bransby Williams,
Emlyn Williams,1905
Esther Williams,1923
Grant Williams,1930
Guinn `Big Boy' Williams,1900
Guy Williams,1924
Harcourt Williams,1880
Hugh Williams,1904
JoBeth Williams,
John Williams,1903
Kathlyn Williams,1888
Kenneth Williams,1926
Paul Williams,1940
Rhys Williams,1892
Robert Williams,1897
Robin Williams,1951
Sharon Williams,
Simon Williams,1946
Treat Williams,1952
Vanessa Williams,1963
Vanessa Williams,1963
Fred Williamson,1938
Nicol Williamson,1939
Noble Willingham,
Austin Willis,
Bruce Willis,1941
Pierre-Richard Willm,
Noel Willman,1918
Dave Willock,1909
Beverly Wills,
Brember Wills,1883
Chill Wills,1903
Douglas Wilmer,1920
Candy Wilson,
Dooley Wilson,1894
Elizabeth Wilson,
Flip Wilson,1933
George Wilson,
Josephine Wilson,
Lambert Wilson,
Lois Wilson,1895
Margery Wilson,
Marie Wilson,1916
Mary Louise Wilson,
Michael G. Wilson,
Scott Wilson,1942
Trey Wilson,
Paul Winchell,
Walter Winchell,1897
William Windom,1923
Barbara Windsor,1937
Claire Windsor,1898
Marie Windsor,1923
Penelope Windust,
Paul Winfield,1941
Debra Winger,1954
Henry Winkler,1946
Kitty Winn,
Kate Winslet,1975
Charles Winninger,1884
George Winslow,1946
Philip Winter,
Vincent Winter,1947
Deborah Winters,
Jonathan Winters,1925
Roland Winters,1904
Shelley Winters,1922
Estelle Winwood,1882
Norman Wisdom,1918
Joseph Wiseman,1919
Googie Withers,1917
Grant Withers,1904
Jane Withers,1926
Cora Witherspoon,1890
Michael James Wixted,
Alexander Wolcott,
Michael Wolf,
Allan Wolfe,
Ian Wolfe,1896
Sir Donald Wolfit,1902
Louis Wolheim,1880
Edna May Wonacott,1888
Anna May Wong,1907
Arthur Wontner,1875
Cyndi Wood,
David Wood,
"Edward D. Wood~jr. ",1924
Elijah Wood,1981
Gary Wood,
John Wood,1937
Lana Wood,
Natalie Wood,1938
Peggy Wood,1892
Alfre Woodard,
George Woodbridge,1907
Joan Woodbury,1915
Aubrey Woods,1928
Bill Woods,
Donald Woods,1904
James Woods,
Edward Woodward,
Joanne Woodward,1930
Morgan Woodward,
Norman Wooland,1905
Monty Woolley,1888
Hank Worden,1901
Christina World,
Frederick Worlock,1886
Mary Woronov,
Brian Worth,1914
Irene Worth,1916
Fay Wray,1907
John Wray,1890
Marie Wright,
Michael Wright,
Robin Wright,
Teresa Wright,1918
Tony Wright,1925
Will Wright,1894
Vivian Wu,
Maris Wrixon,1917
Jane Wyatt,1912
Margaret Wycherly,1881
Sandy Wyeth,
Richard Wyler,1934
Jane Wyman,1914
Bill Wyman,1939
Stephen Wyman,1963
Patrick Wymark,
Patrice Wymore,1926
Dennis Wyndham,
Ed Wynn,1886
Keenan Wynn,1916
May Wynn,1931
Greg Wynne,
Dana Wynter,1930
Diana Wynyard,1906
Tsutomu Yamazaki,
Jean Yanne,1933
Celeste Yarnall,
Cassie Yates,
Yury Yarvet,
Dick York,1928
Jeff York,
Michael York,1942
Rebecca York,
Susannah York,1941
Alan Young,1919
Arthur Young,1898
Burt Young,
Carleton Young,1906
Clara Kimball Young,1890
Gig Young,1913
Karen Young,
Loretta Young,1913
Mat Young,
Otis Young,1932
Robert Young,1907
Roland Young,1887
Sean Young,
Skip Young,
Stephen Young,
Tony Young,1932
Victor Sen Young,
Harris Yulin,
Johnny Yune,
Sen Yung,1915
Blanche Yurka,1887
George Zacco,
Pia Zadora,1956
Lenore Zann,
Frank Zappa,
Michael Zaslow,
Suzanne Zenor,
Renee Zellweger,1970
Delphine Zentout,1973
Anthony Zerbe,
Mai Zetterling,1925
Carla Ziegfeld,
Sonja Ziemann,1926
Efrem Zimbalist~Jr.,1918
Laurie Zimmer,
Adrian Zmed,
Vera Zorina,1917
George Zucco,1886
David Zucker,
Jerry Zucker,
Daphne Zuniga,
Frantisek Zvarik,
Darrell Zwerling,
